Gene,Normal_to_Damaged,Normal_to_Poorly_diff,Normal_to_Well_diff,Damaged_to_Poorly_diff,Damaged_to_Well_diff,Poor_to_well_diff
KCTD21-AS1,0,0,0,0,0,0
KIAA1614-AS1,0,1,0,0,0,0
KIF9-AS1,0,1,1,0,0,0
KLF3-AS1,1,1,1,0,0,0
KLF7-IT1,0,1,1,0,1,0
KLHL7-AS1,0,0,0,0,0,0
KMT2E-AS1,0,0,0,0,0,0
KRTAP5-AS1,0,0,1,0,0,0
KTN1-AS1,0,0,0,0,0,0
LA16c-313D11.12,0,1,0,1,0,0
LAMTOR5-AS1,0,0,0,0,0,0
LBX2-AS1,0,1,1,0,0,0
LENG8-AS1,0,0,0,0,0,0
LHFPL3-AS1,0,1,1,0,0,0
LIFR-AS1,0,0,1,0,1,0
LINC-PINT,1,0,0,0,0,0
LINC00106,0,0,0,0,0,0
LINC00115,0,0,0,0,0,0
LINC00152,0,1,1,1,1,0
LINC00173,0,0,1,0,0,0
LINC00174,0,0,0,0,0,0
LINC00205,0,0,0,0,0,0
LINC00240,0,0,0,0,0,0
LINC00265,0,0,0,0,0,0
LINC00278,0,0,0,0,0,0
LINC00299,0,0,0,0,0,0
LINC00310,0,0,0,0,0,0
LINC00313,0,1,0,1,0,0
LINC00319,0,0,1,0,0,0
LINC00324,0,0,0,0,0,0
LINC00327,0,1,1,1,1,0
LINC00339,0,0,0,0,0,0
LINC00342,1,0,1,0,0,0
LINC00346,0,1,1,0,0,0
LINC00426,0,0,0,0,0,0
LINC00460,0,1,1,0,0,0
LINC00467,0,0,0,0,0,0
LINC00472,0,1,1,0,0,0
LINC00476,0,0,0,0,0,0
LINC00491,0,0,0,0,0,0
LINC00504,1,1,1,1,1,1
LINC00511,0,0,1,0,0,0
LINC00518,0,0,0,0,0,0
LINC00519,1,1,1,0,0,0
LINC00520,0,0,1,0,0,0
LINC00526,0,0,0,0,0,0
LINC00571,0,0,0,0,0,0
LINC00592,0,0,0,0,0,0
LINC00630,0,0,0,0,0,0
LINC00638,0,0,0,0,0,0
LINC00639,0,1,1,0,0,0
LINC00640,0,1,1,1,0,0
LINC00641,0,0,0,0,0,0
LINC00649,0,0,0,0,0,0
LINC00654,0,0,0,0,0,0
LINC00662,0,0,0,0,0,0
LINC00665,0,0,0,0,0,0
LINC00667,0,0,0,0,0,0
LINC00668,0,0,0,0,0,0
LINC00702,0,0,1,0,0,0
LINC00704,0,0,1,0,0,0
LINC00707,1,1,1,1,1,1
LINC00839,0,0,0,0,0,0
LINC00847,0,0,0,0,0,0
LINC00852,0,0,0,0,0,0
LINC00856,0,0,1,0,1,0
LINC00861,0,0,0,0,0,0
LINC00863,0,0,0,0,0,0
LINC00865,0,0,0,0,0,0
LINC00885,0,1,1,1,1,0
LINC00886,0,0,0,0,0,0
LINC00893,1,1,1,0,0,0
